sn,pl3c
1316,FBgn0013263
1317,FBgn0058182
1318,FBgn0265702
1319,FBgn0013269
1320,FBgn0264815
1321,FBgn0051948
1322,FBgn0264817
1323,FBgn0021800
1324,FBgn0264810
1325,FBgn0051413
1326,FBgn0051940
1327,FBgn0051943
1328,FBgn0051410
1329,FBgn0264819
1330,FBgn0051416
1331,FBgn0051415
1332,FBgn0051414
1333,FBgn0037398
1334,FBgn0037399
1335,FBgn0267351
1336,FBgn0267350
1337,FBgn0030870
1338,FBgn0030871
1339,FBgn0030872
1340,FBgn0030873
1341,FBgn0030874
1342,FBgn0037395
1343,FBgn0037396
1344,FBgn0030877
1345,FBgn0038854
1346,FBgn0050098
1347,FBgn0050099
1348,FBgn0050094
1349,FBgn0050095
1350,FBgn0050096
1351,FBgn0050090
1352,FBgn0050091
1353,FBgn0050093
1354,FBgn0263558
1355,FBgn0265700
1356,FBgn0038855
1357,FBgn0032700
1358,FBgn0032701
